株式会社ID Cruise,https://imitsu.jp/service/228298/,ID Cruise,5人,http://www.id-cruise.co.jp/,2017年,100万～
楽らクラウド株式会社,https://imitsu.jp/service/351143/,楽らクラウド株式会社,15人,https://racloud.co.jp/,2018年,""
株式会社デザインワン・ジャパン,https://imitsu.jp/service/229276/,株式会社デザインワン・ジャパン,96人,https://www.designone.jp,2005年,""
アルサーガパートナーズ株式会社,https://imitsu.jp/service/225783/,アルサーガパートナーズ,120人,https://www.arsaga.jp/,2016年,""
合同会社comsica,https://imitsu.jp/service/249360/,合同会社comsica,1人,https://comsica.com,2020年,30〜300万円ほど
株式会社 E FACTORY GUYS,https://imitsu.jp/service/229108/,E FACTORY GUYS（イー・ファクトリー・ガイズ）,8人,https://efactoryguys.com/,2018年,""
株式会社Lbose,https://imitsu.jp/service/406461/,株式会社Lbose,3人,https://attendbiz.jp/,2017年,50万〜
オプシス株式会社,https://imitsu.jp/service/406800/,オプシス,22人,https://www.opxis.co.jp/,2015年,300万～
AppTime株式会社,https://imitsu.jp/service/246020/,AppTime株式会社,18人,https://apptime.co.jp,2018年,"¥3,000,000 〜 ¥20,000,000"
株式会社Internnect,https://imitsu.jp/service/230917/,業務システムはもちろん、AR/VRなどの先端技術開発、高度なAI、IoTまで,10人,https://internnect.co.jp/,2016年,コーポレートサイト制作（5ページ）：50万円～
株式会社イノベーション,https://imitsu.jp/service/331326/,株式会社イノベーション,9人,http://www.corpinnovation.jp/,2020年,""
ファウンダーズ株式会社,https://imitsu.jp/service/325995/,Jidoca,10人,https://jidoca.io/,2015年,要問い合わせ
株式会社クリエイターズ・ラボ,https://imitsu.jp/service/229432/,クリエイターズ・ラボ,3人,https://www.creatorslab.jp/,2015年,""
エムアンドシーシステム株式会社,https://imitsu.jp/service/318543/,エムアンドシーシステム株式会社,43人,https://www.mandc.co.jp/index.html,1986年,""
合同会社アウラント,https://imitsu.jp/service/152308/,合同会社アウラント,1人,http://www.owlant.com/,2006年,10万～3000万円
株式会社NetValue,https://imitsu.jp/service/225529/,株式会社NetValue,104人,https://www.netvalue-io.com,2004年,500万
株式会社INTHEFOREST,https://imitsu.jp/service/152691/,株式会社ＩＮＴＨＥＦＯＲＥＳＴ,5人,https://www.intheforest.co.jp/,2011年,５００万〜
株式会社LionGarden,https://imitsu.jp/service/235703/,株式会社Lion Garden,10人,https://lion-garden.com/solution/,2013年,500万円-5000万円
DevSamurai株式会社,https://imitsu.jp/service/224756/,デフサムライ,50人,https://www.devsamurai.com/ja/,2018年,""
株式会社システム・ビット,https://imitsu.jp/service/131578/,システム・ビット,144人,https://www.systembit.co.jp/,1979年,100～1000
Y&I Group株式会社,https://imitsu.jp/service/323854/,Y&I Group株式会社,250人,https://www.y-i-groupinc.jp/,2016年,柔軟に対応可能です
株式会社VTM,https://imitsu.jp/service/137835/,オンラインスクールプラットフォーム,62人,https://www.skillupcity.com/,2004年,""
株式会社ハヤトテック,https://imitsu.jp/service/246887/,ハヤトテック,2人,https://hayatotech.co.jp/,2015年,要問い合わせ
西安スターティアソフト株式会社,https://imitsu.jp/service/332029/,西安スターティアソフト株式会社,20人,https://www.startiasoft.co.jp/,2013年,400万円～
ソフトヒューベリオン株式会社,https://imitsu.jp/service/148861/,ソフトヒューべリオン,130人,http://soft-hyperion.com/,2008年,50万～
株式会社フィルイン,https://imitsu.jp/service/323591/,フィルイン,1人,https://www.fillin-inc.com/,2016年,"800,000円"
株式会社アイスリーデザイン,https://imitsu.jp/service/128268/,株式会社アイスリーデザイン,60人,https://www.i3design.jp/,2006年,500万円～
